City,level,MFs_generation,MW,HW,MFs_emission,ocean,soil,river
Jining City,6,17.27173789,16.69865828,0.573079611,11.09832097,3.478826222,1.192593298,6.426901449
Jiamusi City,6,4.699916311,4.523187081,0.17672923,3.524109119,1.155213704,0.251524186,2.117371229
Jiaxing City,6,7.726214842,7.401168327,0.325046515,4.966049576,1.916130472,0.547678026,2.502241078
Jiayuguan City,6,0.499840862,0.481963648,0.017877214,0.374378907,0.122472611,0.026375103,0.225531192
Jiangmen City,6,9.779858499,9.359507106,0.420351393,6.300311832,2.416202576,0.698640285,3.185468972
Jiaozuo City,6,7.150804833,6.928282619,0.222522215,5.352481177,1.748019784,0.371366351,3.233095043
Jieyang City,6,12.27692534,11.74773972,0.529185628,9.242992001,3.71886784,0.666101249,4.858022912
Jinchang City,6,0.919863488,0.886432523,0.033430965,0.688744719,0.225109483,0.048965374,0.414669862
Jinhua City,6,10.15392664,9.713268356,0.440658284,6.544508647,2.040560036,0.722039699,3.781908912
Jinzhou City,6,5.854271097,5.614647417,0.23962368,4.404135404,1.778080774,0.315598054,2.310456575
Jincheng City,6,4.657058904,4.471887625,0.185171279,3.494826873,1.141551303,0.250535775,2.102739795
Jinzhong City,6,6.789486373,6.516670436,0.272815937,5.090062988,1.658998669,0.367184301,3.063880018
Jingmen City,6,5.818691837,5.576780214,0.241911623,4.36027051,1.420605355,0.316168231,2.623496923
Jingzhou City,6,11.07747762,10.61061433,0.466863296,8.294404276,2.710291891,0.606169389,4.977942996
Jingdezhen City,6,3.40523599,3.18048716,0.22474883,2.576753783,0.833812451,0.203216927,1.539724404
Jiujiang City,6,10.57631776,9.888571161,0.687746603,6.879546453,2.138242513,0.786170753,3.955133187
Jiuquan City,6,2.261263565,2.181239103,0.080024462,1.69019001,0.553077727,0.119676328,1.017435955
Kashgar Prefecture,6,9.09583716,8.800269194,0.295567966,6.835858532,2.23694741,0.47204257,4.126868552
Kaifeng City,6,9.028919365,8.740535575,0.288383791,6.792071132,2.223969642,0.464339466,4.103762024
Karamay City,6,0.913546203,0.88411381,0.029432392,0.685091522,0.224408627,0.047557136,0.41312576
Kizilsu Kirgiz Autonomous Prefecture,6,1.235617099,1.195792731,0.039824369,0.92389713,0.301912005,0.064627678,0.557357446
Kunming City,6,14.65132752,14.09173277,0.559594752,9.417911519,2.953123992,1.029003086,5.435784442
Lhasa City,6,1.450237299,1.372862913,0.077374386,1.093316005,0.355099751,0.081773435,0.656442819
Laibin City,6,4.523500452,4.315795444,0.207705009,3.398642479,1.105863202,0.249327306,2.04345197
Lanzhou City,6,7.46880085,7.198662601,0.270138249,5.601658366,1.838263277,0.395819469,3.36757562
Langfang City,6,10.20915072,9.909627561,0.29952316,6.548782124,2.067032634,0.696920926,3.784828564
